,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,,,,,,,,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,
Appliance,EP_purpose,Useful Gains,Fraction latent,Design Level (W) ,Gross Rated Cooling COP,Gross Rated Heating COP,Efficiency,Peak_Flow_Rate,4,5,6,7,8,9,10,PM25(mg/min),PM10(mg/min),NO2(mug/s),Calculation Method,Notes,watts per zone floor area [w/m2],watts per person [w/p],fraction radiant,fraction lost,occupancy [m2/p],flow per exterior surface m3/s-m2,flow rate per person m3/s-p,,calibrated,sigma,lower,upper,,,
Canteen_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,8,,1.6,3.2,12.8,20,,
Storage_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,0,,0,0,0,20,,
Toilet_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,10,,2,4,16,20,,
Design Specification Outdoor Air 1,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,0,,0,0,0,20,,
1_VRF_Office,AirConditioner:VariableRefrigerantFlow,,,,2.37,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,20,uses the percentage and does the sigma calc in the script…,
GF_VRF_Suites,AirConditioner:VariableRefrigerantFlow,,,,2.37,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,20,uses the percentage and does the sigma calc in the script…,
3_VRF_Office,AirConditioner:VariableRefrigerantFlow,,,,2.37,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,20,uses the percentage and does the sigma calc in the script…,
ExhaustFans,Fan:ZoneExhaust,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.12,0.24,0.96,20,,
Fixture_Offices_3,WaterUse:Equipment,,,,,,,0.0000025,,,,,,,,,,,,,,,,,,,,,,0.0000005,0.000001,0.000004,20,,
Fixture_Offices_1,WaterUse:Equipment,,,,,,,0.0000025,,,,,,,,,,,,,,,,,,,,,,0.0000005,0.000001,0.000004,20,,
Fixture_Offices_2,WaterUse:Equipment,,,,,,,0.0000025,,,,,,,,,,,,,,,,,,,,,,0.0000005,0.000001,0.000004,20,,
Fixture_Lobby,WaterUse:Equipment,,,,,,,0.0000025,,,,,,,,,,,,,,,,,,,,,,0.0000005,0.000001,0.000004,20,,
Fixture_ToiletShower,WaterUse:Equipment,,,,,,,5.67E-06,,,,,,,,,,,,,,,,,,,,,,1.13E-06,2.27E-06,9.07E-06,20,,
Fixture_Kitchen,WaterUse:Equipment,,,,,,,5.56E-06,,,,,,,,,,,,,,,,,,,,,,1.11E-06,2.22E-06,8.89E-06,20,,
HW Boiler 1,Boiler:HotWater,,,,,,0.8587,,,,,,,,,,,,,,,,,,,,,,,0.17174,0.65,0.98,20,,
HW Boiler 2,Boiler:HotWater,,,,,,0.8587,,,,,,,,,,,,,,,,,,,,,,,0.17174,0.65,0.98,20,,
