Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING:Zone Operative Temperature [C](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 02/05  17:00:00,11.8333333333333,77.6333333333333,15.894673714277,15.0877668985143,2.00357395239653,1.09690575591024,1.98687733087317,,66.3571260324891,,,,,59.7984683968546,,,,63.0927256835855,,70.0434619120412,,5.685568855742132E-002,5.313576946618792E-002,5.573512993316324E-002 
 02/05  18:00:00,11.9,76.1,18.9899965521242,17.3394188498083,1.70372019735859,1.05155220976213,1.8665918098071,,50.2452155419582,,,,,43.0732996510335,,,,49.1364032413831,,59.8158794062875,,5.619075794626424E-002,5.320221858182177E-002,5.610302894040020E-002 
 02/05  19:00:00,11.8666666666667,78.,20.2920813744939,18.9892107534469,1.79946403516359,0.892643676344171,1.49966496680919,,45.8462586778686,,,,,40.5958322030995,,,,44.0975747031526,,57.4214946291724,,5.595161329331686E-002,5.264233665433635E-002,5.530005757363038E-002 
 02/05  20:00:00,11.9333333333333,77.2333333333333,20.5209452852678,19.8780077832275,1.6909393491131,1.17720948947303,2.10523460779955,,44.2357475451274,,,,,40.9041008988353,,,,42.3094344859227,,56.1298472357232,,5.622758966653733E-002,5.271212066574773E-002,5.546750625077204E-002 
 02/05  21:00:00,11.8,77.5666666666667,20.6512761591413,20.4006123534661,2.01112280409714,1.37354669605264,2.49327451044529,,42.6108586649358,,,,,40.644070666335,,,,40.8016778536284,,54.9674213385412,,5.597764538087707E-002,5.429100406805335E-002,5.713274299356131E-002 
 02/05  22:00:00,11.5,80.5,18.8016836471239,18.5397944310255,2.49355174980269,1.22896833961698,2.15510704237187,,54.8158897180846,,,,,49.8674665286074,,,,50.8146877441963,,64.039057195982,,5.673904030000573E-002,5.445794021487068E-002,5.694296103630978E-002 
 02/05  23:00:00,11.5333333333333,79.3333333333333,17.7320705067236,17.3656378837479,2.58294428967557,1.41723836842723,2.56787408547821,,59.5375799924228,,,,,54.1347493737792,,,,55.4461105763762,,66.5062497377432,,5.748038092828638E-002,5.460812861233999E-002,5.691805510892667E-002 
 02/05  24:00:00,9.26666666666667,78.0666666666667,17.2523307536464,16.8500380889181,0.488843987216513,0.651680717951397,0.849211294419843,,58.0979615050358,,,,,53.9022555349076,,,,55.3016783035763,,63.463360691506,,5.481481322857593E-002,5.372376254233766E-002,5.485548383269010E-002 
 02/06  01:00:00,10.2333333333333,80.4,17.0282008884523,16.5743333183832,0.657775245508755,0.689721813139375,1.07891619726504,,55.1663060668182,,,,,52.3668323531141,,,,56.1080039938895,,62.8769612807474,,5.184075551693555E-002,5.038078777817909E-002,4.960715136524719E-002 
 02/06  02:00:00,10.8333333333333,85.4,16.8240575294293,16.1831010680435,1.08909264246389,0.945306360724685,1.73748475122937,,59.1725809395082,,,,,55.90518169251,,,,59.8226658983824,,68.5542118462107,,5.303650032208260E-002,5.154595995634667E-002,5.450787975530424E-002 
 02/06  03:00:00,10.2666666666667,90.5666666666667,16.6094874268895,15.8891769237016,1.05135090480579,0.914574767576088,1.67101008157422,,62.4544100057467,,,,,58.7738820085904,,,,62.5514780020595,,71.1096571466566,,5.293275574485323E-002,5.210784702965029E-002,5.539034723205836E-002 
 02/06  04:00:00,10.1666666666667,90.4666666666667,16.407250261091,15.6270160113744,0.800142482062239,0.904221613063652,1.67823385537357,,64.2768105030159,,,,,60.5496080976207,,,,64.1766382423452,,72.1068861109423,,5.244416382902174E-002,5.232516184246339E-002,5.541568469535438E-002 
 02/06  05:00:00,10.3333333333333,88.,16.2336157741779,15.4085646639818,0.435297472950919,0.91633278450302,1.63899258324782,,64.6599345275609,,,,,60.984973740289,,,,64.2360938808176,,71.1407031744379,,5.043778460381448E-002,5.246770393774308E-002,5.539011448866773E-002 
 02/06  06:00:00,10.4666666666667,85.5333333333333,16.0611150505028,15.2036368086631,0.340056628630082,1.00331489047973,1.76930123088058,,64.8439193533287,,,,,60.8526693782693,,,,64.0149919492833,,70.3142935141617,,4.795756672984702E-002,5.270747453992163E-002,5.550349407181734E-002 
 02/06  07:00:00,10.5,84.7,19.1682055192168,17.4668073194775,0.313440284648339,0.990220398597829,1.68181774859091,,48.6278174433001,,,,,43.6596376154559,,,,49.6475249209108,,58.6560330591327,,4.728642496623606E-002,5.288789349237519E-002,5.560227174720034E-002 
 02/06  08:00:00,10.5,84.7,20.4749156089077,19.0626362598987,0.2920453011735,0.957003826903729,1.60193029894908,,43.5762084310297,,,,,40.9704021320312,,,,44.6318502382869,,54.590552561461,,4.714154049405635E-002,5.266363325634241E-002,5.535405850957641E-002 
 02/06  09:00:00,10.8333333333333,81.6333333333333,18.4916647405551,17.534552480625,0.367393068564927,1.09936668743391,1.91771343954631,,53.8693365647548,,,,,50.6052065725255,,,,53.5590131030666,,61.8751326139686,,4.742970183940970E-002,5.287823831269090E-002,5.559638168304173E-002 
 02/06  10:00:00,11.2,77.9,17.5913493795101,16.708003732444,0.648887585291536,1.05420418464476,1.94710046067083,,56.9746462021496,,,,,52.9685576189626,,,,55.5779409007962,,62.8788887878688,,4.884491927024037E-002,5.360537059503834E-002,5.622645171426419E-002 
 02/06  11:00:00,11.5666666666667,75.4666666666667,17.4839174971755,16.5191536080354,0.756205670627868,0.991950652878685,1.8861318385191,,56.7224365950974,,,,,52.4818404034429,,,,55.422772448965,,62.650497904981,,5.079537476186836E-002,5.347636296879893E-002,5.609470732639567E-002 
 02/06  12:00:00,11.8333333333333,74.8666666666667,17.4214466848596,16.4155419310305,0.924621301491711,1.20258284449163,2.32616673947364,,56.7661172693398,,,,,52.5983088840593,,,,56.0095764973482,,63.3066743009251,,5.210689483963965E-002,5.388654247719373E-002,5.655069873598636E-002 
 02/06  13:00:00,12.1,72.0333333333333,17.4472449928991,16.415170693067,1.35528310380648,1.31610761803386,2.50495538196839,,57.0216401727394,,,,,52.4920866496894,,,,55.7911279826305,,62.8384377951532,,5.394225161343494E-002,5.483745827317184E-002,5.725903354109207E-002 
 02/06  14:00:00,11.9333333333333,68.8,17.4522621717366,16.4135770941245,1.61441069863926,1.38812616141618,2.61407552453059,,55.83008869345,,,,,50.806610273105,,,,53.3624299012434,,60.1356317598345,,5.536569417639049E-002,5.506869454556216E-002,5.735701207517193E-002 
 02/06  15:00:00,11.4666666666667,70.6333333333333,17.2250696246036,16.217701771085,1.65904219889222,1.42625798379729,2.68592410757857,,54.5849693237891,,,,,49.5712303587918,,,,52.3250609379728,,59.4433330109071,,5.579792669426295E-002,5.531534741738364E-002,5.753055296594506E-002 
