Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/02  06:00:00,1.025,84.625,14.2288629105288,12.3824796027473,0.742774756221707,0.0,0.199729269470784,,,,,49.2863313993579,,,,,47.933607186213,,39.8932344036004,,43.0682648032372,5.231726131345207E-002,4.365136282862706E-002,4.954653535695921E-002 
 01/02  07:00:00,0.783333333333333,83.2166666666667,16.9944109852768,15.7927893479648,0.695737378138388,0.100933959063264,0.379759584864654,,,,,42.8003069549049,,,,,33.9171242499661,,29.1601540947839,,29.6012105662436,5.239957407782977E-002,4.428597489871059E-002,5.007263258006837E-002 
 01/02  08:00:00,0.7,81.8333333333333,18.659902000193,17.5311024757342,0.880024345394573,7.861848064203873E-002,0.386319933168195,,,,,48.3419200620414,,,,,57.2518776325058,,24.9097510910425,,25.6580907588186,5.233454066150212E-002,4.519134977949335E-002,5.052586622437068E-002 
 01/02  09:00:00,0.758333333333333,83.25,16.5459937801882,15.0930436454277,0.655853807965528,1.026829814019231E-003,0.224013543996481,,,,,57.8538161137096,,,,,95.7385893209678,,33.6201714990436,,37.1044202031285,5.170046327659120E-002,4.514892177907113E-002,5.066733554087899E-002 
 01/02  10:00:00,1.26666666666667,80.5333333333333,15.4812683835982,14.5947212280095,0.743206283726826,0.0,0.190480864390478,,,,,56.6435681066761,,,,,72.5732895272253,,39.9857189255154,,41.5413594131657,5.211868000424355E-002,4.550086409064319E-002,5.000600693234598E-002 
 01/02  11:00:00,1.95,74.9583333333333,15.0216974017634,14.4833329349913,0.694867086155094,0.0,0.146702604615417,,,,,50.9078337803483,,,,,52.5132509175351,,41.3411935935018,,41.6761629458796,5.183466655331875E-002,4.538977382992144E-002,4.942674231903910E-002 
 01/02  12:00:00,2.49166666666667,70.375,14.6945117924746,14.3286104029411,0.606359023827746,0.0,0.156793032418723,,,,,48.8495477906698,,,,,46.4626827150572,,40.7768769974517,,40.7157937258477,5.073326295040598E-002,4.424831204446664E-002,4.876201722770804E-002 
 01/02  13:00:00,2.75833333333333,60.7416666666667,14.3249112316296,13.4054279919213,0.869038313199445,1.102400741886217E-002,0.176818558983962,,,,,46.3501096072513,,,,,90.6393268056024,,40.4314441931485,,41.3327501857217,5.062229842482546E-002,4.278520167578882E-002,4.864355598350292E-002 
 01/02  14:00:00,2.625,57.7666666666667,13.945205030751,13.4754204433446,0.62278078265379,0.0,0.128850326737726,,,,,43.8124227810807,,,,,69.6607929430899,,39.8986490850913,,40.0062230960992,5.066813002017780E-002,4.286772416234150E-002,4.784797430564106E-002 
 01/02  15:00:00,2.44166666666667,61.4666666666667,13.606320310851,13.314976954524,0.570045318421481,0.0,0.163669423644208,,,,,45.4864278553038,,,,,50.9619630494291,,39.834673336465,,39.8071461238473,5.014227460320403E-002,4.258206079079932E-002,4.750748293996224E-002 
 01/02  16:00:00,2.10833333333333,62.625,13.2566382056437,13.0988658319497,0.701052043627546,0.0,6.722167031862328E-002,,,,,45.0185581980935,,,,,44.033963883647,,39.6189308624477,,39.3110029239688,4.974350095730475E-002,4.220074453840714E-002,4.692097170658523E-002 
 01/02  17:00:00,1.725,67.1083333333333,12.8921550181866,12.9023381634358,1.01394372458695,0.0,0.0,,,,,41.4902279567889,,,,,41.7964273387512,,38.3841375736869,,38.855534348323,5.072878743960992E-002,4.335945575909250E-002,4.598856403800327E-002 
 01/02  18:00:00,1.425,71.1583333333333,15.7079888682375,16.3364577947503,0.973230729148765,0.0,9.854243855595783E-002,,,,,33.3514654360558,,,,,30.0393050876238,,27.3904106138762,,27.1344129865017,5.210034105283801E-002,4.518776851688605E-002,4.666003091464683E-002 
 01/02  19:00:00,1.24166666666667,69.3666666666667,17.5765423318511,17.9838208106022,1.13652988290485,0.0,0.256933578020811,,,,,32.3432705442805,,,,,83.2378316068159,,23.8481084997774,,24.5648208435554,5.202074537154860E-002,4.522038194915485E-002,4.898422869452707E-002 
 01/02  20:00:00,1.025,67.2916666666667,18.5288189402474,18.490633105266,0.997276296638364,0.0,0.204152244487771,,,,,31.7279943575019,,,,,34.8230206366199,,24.5794165356115,,25.5876057738849,5.181793224983284E-002,4.666536648850134E-002,4.969313028113365E-002 
 01/02  21:00:00,0.783333333333333,67.8166666666667,19.3247868701748,19.3705663495512,0.908443141881166,0.0,0.252270417569771,,,,,29.397301358559,,,,,42.5315993756466,,24.3076818071819,,24.6636555063305,5.332654733764977E-002,4.720469841534916E-002,5.025337238392785E-002 
 01/02  22:00:00,0.641666666666667,68.3416666666667,16.9181305442174,16.5038303459649,0.752079589719137,6.218965392490457E-003,0.257623280330973,,,,,37.0395698242673,,,,,55.9140403837935,,31.07527563664,,32.9676860645614,5.349573221412099E-002,4.701294199726379E-002,5.053741044935032E-002 
 01/02  23:00:00,0.6,67.1333333333333,15.8651829428923,14.7158918335634,0.753628755234837,4.596798486979911E-003,0.23600960891431,,,,,39.3022664330815,,,,,44.7835937524362,,33.2490443443646,,35.5947842384747,5.310584358610901E-002,4.669626078328600E-002,5.045095626868829E-002 
 01/02  24:00:00,0.483333333333333,65.0166666666667,15.3224496808347,14.0215237474124,0.800777063800686,0.0,0.186462670499779,,,,,38.8965051965363,,,,,37.0630009357629,,32.7141115935954,,34.4208434340386,5.274865681915819E-002,4.661007086160766E-002,5.004448010189601E-002 
 01/03  01:00:00,0.4,64.1,14.9166620921417,13.552332643329,0.796654764615841,0.0,0.177434445187314,,,,,37.5900004292611,,,,,34.490630300127,,31.6413585313857,,33.0402362963482,5.246476696911234E-002,4.624287329842783E-002,4.964523677561603E-002 
 01/03  02:00:00,0.341666666666667,63.925,14.562938144949,13.1357502444731,0.782024946734398,0.0,0.188784026526341,,,,,36.766969880459,,,,,33.9888592750303,,30.3959605266367,,31.9079400829734,5.243774678627221E-002,4.610591256189953E-002,4.944397328642094E-002 
 01/03  03:00:00,6.666666666666667E-002,67.5916666666667,14.2404636783361,12.7424138442848,0.764459966274485,0.0,0.195823804230191,,,,,36.5543085910272,,,,,34.5034406192209,,29.3938760965026,,31.3132520923018,5.239487465828153E-002,4.606361921716434E-002,4.937175839310153E-002 
 01/03  04:00:00,-0.216666666666667,69.0166666666667,13.943491049349,12.3729071542262,0.723060028520573,0.0,0.190022883580429,,,,,36.8013075040042,,,,,35.8534132221139,,28.9016979025929,,31.38147242101,5.224070720627822E-002,4.581643863640059E-002,4.926683128544618E-002 
 01/03  05:00:00,-0.475,69.9666666666667,13.6823759594986,12.0076063828899,0.641886406510549,3.383763313211439E-003,0.212209782981808,,,,,36.9011542084603,,,,,36.3120237699696,,28.8635401083056,,31.5771332599209,5.175235438759825E-002,4.496148814064174E-002,4.915181640259571E-002 
 01/03  06:00:00,-0.833333333333333,75.5,13.4049607626048,11.638455367207,0.492798162621787,8.115598543243689E-002,0.266702875409931,,,,,37.1555471570934,,,,,37.1370833413572,,29.0317237975899,,32.1421552740538,5.092866273236999E-002,4.444946737923167E-002,4.916271555994538E-002 
 01/03  07:00:00,-0.941666666666667,77.45,16.2185177240817,15.1091667981114,0.625753184833361,0.104451371855441,0.313280442924431,,,,,34.4344090066069,,,,,27.5108145763397,,21.6186687255028,,22.748151390939,5.109133529648022E-002,4.440848261652145E-002,4.934833473066488E-002 
 01/03  08:00:00,-0.958333333333333,76.525,17.7946539401342,16.6673181756561,0.853531328026313,0.196752528104038,0.493341411775866,,,,,41.8251358362304,,,,,54.3789259720739,,19.3785525531714,,20.7678512993492,5.175419506354862E-002,4.497493259397681E-002,5.034473208568001E-002 
 01/03  09:00:00,-0.825,76.6916666666667,15.6817761177447,14.2316645193649,0.545873990271645,0.141138775986701,0.398906304108982,,,,,50.9807205788019,,,,,93.6726505198232,,26.9965040201424,,31.0389666131261,5.143830998654574E-002,4.543032610691338E-002,5.091427547796812E-002 
 01/03  10:00:00,-0.408333333333333,82.15,14.7960909860463,13.9087795393609,0.454626526082171,0.144793550138522,0.411932340815315,,,,,51.7778332986338,,,,,71.9312000909738,,32.3017386169411,,34.9357402565753,5.129762876101174E-002,4.538765428274514E-002,5.056823296960361E-002 
 01/03  11:00:00,0.5,76.2166666666667,14.3445632499334,13.7304552655976,0.395518322492989,0.281249909303393,0.487730216183554,,,,,48.7575056567257,,,,,53.6895718912139,,34.1773504643685,,35.8037558405787,5.049192212927320E-002,4.536291843083684E-002,5.045694672891698E-002 
 01/03  12:00:00,1.35,63.8166666666667,14.101425288964,13.7402425159577,0.354982127669472,0.362019014954386,0.517926784872959,,,,,47.0586965601778,,,,,45.7235729642289,,33.5871961284327,,34.8402467187664,4.960139844599786E-002,4.575616315079456E-002,5.032226583637680E-002 
