Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 03/30  05:00:00,3.06666666666667,100.,19.3088006809208,16.8890207333539,1.65993592794801,0.0,0.231237681882962,,,46.9299073516138,,,36.3355667071952,,45.584286882723,,,,,,41.5626248971549,5.641985289374538E-002,4.869308301311313E-002,5.106986038563795E-002 
 03/30  06:00:00,2.78333333333333,100.,19.2067232288733,16.8427859535818,1.47590309208937,0.0,3.553534620923036E-002,,,46.1847258181844,,,35.1700130762669,,44.8852313301713,,,,,,40.7785598045912,5.611513248341538E-002,5.070968327102147E-002,5.016175239476321E-002 
 03/30  07:00:00,2.525,100.,19.1282215183332,16.8831505238579,1.24752103697555,0.0,0.0,,,45.3331678299912,,,34.6872501548437,,44.8230627296959,,,,,,40.1029904009849,5.519114688174748E-002,5.043459034688665E-002,4.811252109813841E-002 
 03/30  08:00:00,2.80833333333333,100.,18.9411375396319,16.8678982277331,1.33569281573611,0.0,8.585280905838881E-002,,,61.9671793776253,,,35.1107965427318,,45.9382018339568,,,,,,40.2092418662416,5.410787115270793E-002,4.931735514750352E-002,4.752012748718182E-002 
 03/30  09:00:00,3.45,100.,18.9185621228398,17.4427669260403,1.2532816495847,0.0,7.653290365397174E-002,,,52.4177802111389,,,36.9906510315964,,45.0707942053846,,,,,,40.2775577587126,5.428999170566715E-002,4.926171092414146E-002,4.728921346683295E-002 
 03/30  10:00:00,4.98333333333333,100.,19.1388110735922,17.6520095182466,1.24587562343448,0.0,0.19740576791808,,,49.7165844912508,,,37.5569475895375,,48.1537733335403,,,,,,41.8024936504598,5.511081716748378E-002,4.891373311619349E-002,4.853589239325300E-002 
 03/30  11:00:00,6.775,98.8333333333333,19.4487117128414,18.0472830674571,1.09043356440857,7.326014531210395E-002,0.256681243733458,,,53.3455034582019,,,37.739997649058,,52.3270574655299,,,,,,43.2445589716578,5.491307584582145E-002,4.809378257500576E-002,4.890003075146673E-002 
 03/30  12:00:00,7.69166666666667,99.1666666666667,19.6441070904552,18.4057891936834,0.917919334637236,0.567368931489903,0.552796300556002,,,56.9619374080947,,,40.3874432816165,,55.3328646488935,,,,,,46.2791249899382,5.398762794541356E-002,4.874206156512515E-002,4.960658741092102E-002 
 03/30  13:00:00,8.89166666666667,94.75,19.7226940183137,18.664754456795,0.539616674031377,0.910412249118602,0.715523494394048,,,57.970261851392,,,44.0432880944198,,56.8656468088609,,,,,,48.5673704953358,5.152414477261228E-002,5.042490467712910E-002,4.986697770837280E-002 
 03/30  14:00:00,9.65833333333333,91.5833333333333,19.357116952795,18.1412317483787,0.266914133734985,0.942409979264437,0.698353784267251,,,57.624703553786,,,47.3856365854871,,57.8689274940925,,,,,,51.4580187921094,4.832875062557235E-002,5.132187984008293E-002,4.970786294273442E-002 
 03/30  15:00:00,9.64166666666667,82.6666666666667,19.0795721929807,17.7569564175754,0.234037905761618,0.784516759268298,0.5987482597018,,,58.0076450128337,,,48.1789052832389,,57.9093687707987,,,,,,52.62334954987,4.603669815938285E-002,5.077157333783178E-002,4.886161701396393E-002 
 03/30  16:00:00,9.425,74.25,18.920306510769,17.5895749447433,0.223783173791015,0.631387211638015,0.501285007796612,,,55.2107557173745,,,45.4321872304699,,55.4231853697391,,,,,,50.3704840427226,4.400463953215918E-002,4.944599258896385E-002,4.754933244512301E-002 
 03/30  17:00:00,9.35833333333333,68.3333333333333,18.8432844927633,17.5582113387091,0.212883714595004,0.558516929330412,0.454294314190514,,,52.6659168453043,,,42.8111297559127,,52.797666486727,,,,,,47.7392130529785,4.198956253974633E-002,4.794371310734220E-002,4.608300324781663E-002 
 03/30  18:00:00,9.34166666666667,67.9166666666667,18.6863903858286,17.4163398326315,0.207987678466235,0.541230497204291,0.442397879234626,,,52.0504838937724,,,40.7062035415938,,50.3809992898101,,,,,,45.7234134593387,4.061804696669724E-002,4.696543264526499E-002,4.508104170119118E-002 
 03/30  19:00:00,8.6,75.8333333333333,18.42941571757,17.3135743219484,0.468350588818562,0.572439232883167,0.520710205625763,,,71.0243272600729,,,40.6729094397699,,49.7186035707423,,,,,,45.8215201288946,4.372839613599625E-002,4.730591600758145E-002,4.477770201689785E-002 
 03/30  20:00:00,7.45833333333333,80.,18.2544736873526,17.6025514230397,0.323026761461923,0.478748627182215,0.435290005981957,,,61.4540376070114,,,41.1688908458266,,49.8936502681867,,,,,,46.5228620878287,4.402452824821527E-002,4.665729050188839E-002,4.469231223871466E-002 
 03/30  21:00:00,6.41666666666667,85.8333333333333,18.1050616336753,17.6705595095723,0.485994586250473,0.345407558109842,0.369239821801355,,,61.6951707965871,,,42.2045244264115,,51.548603112098,,,,,,48.9072056303045,4.470902264276794E-002,4.514708915146459E-002,4.486514994575314E-002 
 03/30  22:00:00,6.,92.3333333333333,18.0070814408248,17.6572983181905,0.635953273883332,0.157623262396883,0.278318696393298,,,59.7659264970289,,,43.5212437027682,,51.5046908308287,,,,,,50.3249991049373,4.757212319250048E-002,4.343816885619837E-002,4.550957423246002E-002 
 03/30  23:00:00,5.24166666666667,95.75,18.0260500206584,17.1236769194783,0.733976713891225,1.825298595549047E-002,0.172585809613276,,,53.9885187754379,,,44.5822053630458,,51.1154788637287,,,,,,51.8496498351958,5.023102266198880E-002,4.191757469613423E-002,4.569668693625040E-002 
 03/30  24:00:00,4.875,98.75,18.1648468766784,16.7878267840125,0.791053453330299,0.0,0.14832655340421,,,50.8728204210765,,,44.1596926500591,,50.7072509042865,,,,,,49.7401798716985,5.206306107599839E-002,4.205170880400690E-002,4.599423301263430E-002 
 03/31  01:00:00,5.175,94.1666666666667,18.232511360335,16.6302853050297,0.731862195991162,0.0,0.100182677875019,,,50.2098577063025,,,43.3803578222752,,50.3713912490115,,,,,,48.4156905083284,5.220761795745588E-002,4.281470719666396E-002,4.564686978439943E-002 
