Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING:Zone Operative Temperature [C](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/08  07:00:00,-2.875,93.5666666666667,12.7925037896605,13.6026582269514,0.296058701842548,1.23304638234434,0.0,,,,,,,,32.2783030570778,,43.7805325596537,,36.3248681064152,,30.9160243716887,5.246510499847654E-002,5.534517587546354E-002,4.796973441413865E-002 
 01/08  08:00:00,-3.29166666666667,92.1083333333333,12.7739964551158,13.5594718082942,0.61374347427902,1.18744911588114,0.310258678761313,,,,,,,,31.5132372098649,,42.7241661974477,,53.8886351587116,,30.5994294683161,5.313592776386636E-002,5.511432597876772E-002,4.778881447289485E-002 
 01/08  09:00:00,-3.325,93.5916666666667,12.6380587109086,12.9696977061748,9.344885459239510E-002,1.12787110882013,0.0,,,,,,,,32.9216429101643,,46.5499127241785,,74.3085052916189,,35.6713051502528,5.191755993768050E-002,5.471212429624792E-002,4.779354884317260E-002 
 01/08  10:00:00,-3.08333333333333,93.4,13.4799573437835,12.8294421353625,1.709077722897583E-002,1.25776608201112,0.0,,,,,,,,35.5798940152197,,45.4493765987286,,53.3140419688634,,40.9684513497628,4.944713391408678E-002,5.444784497839589E-002,4.745664680847633E-002 
 01/08  11:00:00,-2.65,91.5833333333333,13.8423291230813,12.8729780600792,0.555267768173688,1.06814022108054,0.327001914317951,,,,,,,,35.0526378297457,,45.9833611520455,,39.8243109007491,,39.350133557553,5.064013692492706E-002,5.472093880466156E-002,4.841472795699575E-002 
 01/08  12:00:00,-2.28333333333333,91.1166666666667,14.3044691023875,13.1212450140294,0.267375206785295,1.17680985539508,0.0,,,,,,,,31.7501609948003,,45.6127350236504,,37.4804515993621,,35.6151368836332,5.196867310299269E-002,5.512302729200049E-002,4.632183713155921E-002 
 01/08  13:00:00,-1.85,90.5583333333333,13.8835144341216,13.2125933542164,0.331885040770624,1.13211270542132,0.0,,,,,,,,32.8178704407383,,47.2188168292693,,92.74697379272,,34.0964028263192,5.223713249418155E-002,5.476583277115523E-002,4.613981239453441E-002 
 01/08  14:00:00,-1.48333333333333,91.4416666666667,14.364011663269,13.2177398406919,0.275168906998795,1.12099366533901,0.0,,,,,,,,32.7571184835786,,51.5465598362417,,75.5423726104933,,34.9282391136361,5.190111907050502E-002,5.506782945131652E-002,4.577806354738970E-002 
 01/08  15:00:00,-1.34166666666667,88.6666666666667,15.4586977328441,13.7351909386244,0.258176846346037,1.26157354111243,0.0,,,,,,,,34.0151599953793,,49.9578969335898,,46.1318857130961,,36.1027994178438,5.176187962208290E-002,5.542107637707894E-002,4.534483970303802E-002 
 01/08  16:00:00,-1.3,82.325,16.0868804172569,14.0909142139773,0.259834215894681,1.34727235977581,0.0,,,,,,,,32.8588877023813,,46.6863522013803,,36.2500238542857,,35.1450993667443,5.190075576422613E-002,5.576206649270726E-002,4.573266594489580E-002 
 01/08  17:00:00,-1.53333333333333,80.5166666666667,14.9986160071149,13.3499309552739,0.251872740438823,1.35899202773291,0.0,,,,,,,,32.8862486280602,,44.3949522546159,,32.7644490559675,,34.8108441504103,5.209436308285787E-002,5.593432764011191E-002,4.614420254962817E-002 
 01/08  18:00:00,-1.75833333333333,83.4916666666667,15.3149735807673,13.5593250704789,0.265808168747667,1.25566147284891,0.0,,,,,,,,30.835964212407,,41.7817717143675,,32.2548631294578,,32.1158880109151,5.202236493105106E-002,5.579319361495377E-002,4.640331832739623E-002 
 01/08  19:00:00,-1.91666666666667,86.1916666666667,15.4184986958955,13.6334699686104,0.352766742756584,1.18859895300253,0.0,,,,,,,,31.1475506068385,,43.8389978434476,,86.8917444747694,,31.2129653353975,5.243348492813218E-002,5.512192680072284E-002,4.656318569426599E-002 
 01/08  20:00:00,-2.75833333333333,87.25,14.7678650448017,13.6842033559669,0.295579793378501,1.12055177752992,0.0,,,,,,,,32.521113584019,,47.8590702964827,,51.4554513284212,,34.0042128751417,5.219167492939189E-002,5.465805757592260E-002,4.651130709871038E-002 
 01/08  21:00:00,-3.41666666666667,88.725,15.1727180493704,13.7141370787847,0.317752273153512,1.04766289115437,0.0,,,,,,,,30.6765257613254,,48.1927585623586,,47.6388480359868,,36.6349508964379,5.200661492238046E-002,5.498252834615656E-002,4.624782082985347E-002 
 01/08  22:00:00,-3.5,89.6,14.684733175944,13.0883265328782,0.308709157928249,1.14896313798435,0.0,,,,,,,,32.8921899525028,,47.6673936719331,,48.2571347957634,,38.1643508570953,5.205534472746060E-002,5.525575251873176E-002,4.586565928601124E-002 
 01/08  23:00:00,-3.38333333333333,89.7166666666667,13.62939213593,13.0000066877312,0.293866016301464,1.23283539613392,0.0,,,,,,,,33.7773146260486,,43.7737083489416,,36.3762550722535,,36.5810474614879,5.205603053463276E-002,5.551836673756317E-002,4.565154044458342E-002 
 01/08  24:00:00,-3.3,89.8,13.0892557027062,12.906610135061,0.253484767478527,1.26584989840541,0.0,,,,,,,,32.2342966188777,,42.3764112231417,,33.8034685022191,,33.970953349335,5.172150405025094E-002,5.551153075030713E-002,4.590933519467577E-002 
 01/09  01:00:00,-3.24166666666667,89.9166666666667,12.7349200378159,12.7848960133667,0.210786477020334,1.36432045566498,0.0,,,,,,,,31.4145535627766,,42.1691271687988,,34.1747974571945,,32.0663654028906,5.135555366036746E-002,5.569011912176746E-002,4.639413282836410E-002 
 01/09  02:00:00,-3.2,90.,12.4339529098076,12.6200959624067,0.18889618546082,1.50827816178195,0.0,,,,,,,,31.0879280001987,,43.0282872089382,,35.152342863907,,31.1149869729209,5.125346686942601E-002,5.603665826277063E-002,4.716279942010954E-002 
 01/09  03:00:00,-3.31666666666667,89.9416666666667,12.1450308166819,12.41413164492,0.202513087365679,1.52294845028089,0.0,,,,,,,,31.321552883407,,43.573577065435,,35.8174480155996,,30.8463827740446,5.157850406476557E-002,5.638955101010234E-002,4.865438903555867E-002 
 01/09  04:00:00,-3.51666666666667,89.6666666666667,11.8857835513315,12.2897424143971,0.210878337839177,1.48084111435698,0.0,,,,,,,,31.4713315162862,,43.3534205410857,,35.8506452731502,,30.7697360966217,5.168455787188957E-002,5.630469085904730E-002,4.861949811451260E-002 
 01/09  05:00:00,-3.775,89.2666666666667,11.6352006829399,12.149468032744,0.212505661816245,1.48433694388589,0.0,,,,,,,,31.4439804589713,,42.9982035960153,,35.692121747584,,30.6778856596666,5.170568924363373E-002,5.628446353606836E-002,4.850546973726996E-002 
 01/09  06:00:00,-3.9,87.7,11.4043542662393,11.9779679355972,0.200667080611686,1.54232109446199,0.0,,,,,,,,31.1846776702421,,42.563398826225,,35.3584622870499,,30.4474046885754,5.174264595272950E-002,5.636376385870772E-002,4.880810757755674E-002 
 01/09  07:00:00,-4.13333333333333,87.75,11.8942452777862,12.2494080397236,0.242792575492377,1.7068453540852,0.0,,,,,,,,28.8167655803578,,41.7973008369455,,33.1454962734411,,28.6034336575482,5.197154007814936E-002,5.660630168878147E-002,4.951931490687592E-002 
 01/09  08:00:00,-4.00833333333333,87.625,12.0028328429681,12.1822614021176,0.315837818095775,1.39758820651764,0.0,,,,,,,,28.1755894271417,,42.0244582513145,,52.2297632317086,,27.9816297517768,5.246422170662355E-002,5.631830892291026E-002,5.018656770776830E-002 
 01/09  09:00:00,-3.68333333333333,88.4583333333333,11.8110162801211,11.5979134814706,0.173527100962823,1.78846061160773,0.0,,,,,,,,30.0100823784621,,44.8427985310458,,64.3267744230256,,31.2407373206186,5.265358728658372E-002,5.640295842740672E-002,5.103230928252351E-002 
