Name,Purpose,Permeability,htc_in,htc_out,vtc_in,vtc_out,Material,Thickness,U-Value
0.60_Solid_Brick_Ext_Wall,External_Wall,15,8.29,29.3,0.00000002,6.25E-08,Brick,0.18,0.585734911
,,,,,,,GlassFiber,0.05,
,,,,,,,Gypsum,0.0005,
,,,,,,,,,
0.25.SOLID_BRICK_EX_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.08,0.453564733
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.6.SOLID_BRICK_EX_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.04,0.586593882
,,,,,,,Brick,0.3,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.45.SOLID_BRICK,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.065,0.445152014
,,,,,,,Brick,0.25,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.21.SOLID_BRICK_EX_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.11,0.338437312
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.6.SYST_INS,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.602044439
,,,,,,,GlassFiber,0.052,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
2.SYST,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.1,1.883366155
,,,,,,,AirGap,0.005,
,,,,,,,Concrete,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.TIMB_AS_BUILT,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.02,0.983211362
,,,,,,,AirGap,0.005,
,,,,,,,Spruce,0.035,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.35.CAVITY_INS,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.13,0.346249563
,,,,,,,GlassFiber,0.09,
,,,,,,,Brick,0.13,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.35.SYST_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Concrete,0.25,0.349527287
,,,,,,,CelluloseIns,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.51.SOLID,Ground_Floor,,0,0,0,0,Concrete,0.5,0.516129032
,,,,,,,GlassFiber,0.045,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.55.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.551724138
,,,,,,,GlassFiber,0.04,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.35.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.355555556
,,,,,,,GlassFiber,0.08,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
1.2.SUSP,Ground_Floor,,0,0,0,0,Gypsum,0.01,1.239521705
,,,,,,,AirGap,0.005,
,,,,,,,Spruce,0.05,
,,,,,,,,,
0.25.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.246153846
,,,,,,,GlassFiber,0.13,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
1.2.SOLID,Ground_Floor,,0,0,0,0,Concrete,0.5,1.230769231
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.22.SOLID,Ground_Floor,,0,0,0,0,Concrete,0.5,0.219178082
,,,,,,,GlassFiber,0.15,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.51_Solid_Concrete_Ground,Ground_Floor,,0,0,0,0,Concrete,0.5,0.583941606
,,,,,,,GlassFiber,0.036,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.25_Solid_Concrete_Ground,Ground_Floor,,0,0,0,0,Concrete,0.5,0.262295082
,,,,,,,GlassFiber,0.12,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.3.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.301886793
,,,,,,,GlassFiber,0.1,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.25.SOLID,Ground_Floor,,0,0,0,0,Concrete,0.5,0.262295082
,,,,,,,GlassFiber,0.12,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.25_Ground_Floor,Ground_Floor,,0,0,0,0,Concrete,0.5,0.262295082
,,,,,,,GlassFiber,0.12,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
Concrete_Ground_Floor,Ground_Floor,,0,0,0,0,Concrete,0.5,3.2
,,,,,,,,,
1.20_Solid_Concrete_Ground,Ground_Floor,,0,0,0,0,Concrete,0.4,1.6
,,,,,,,Gypsum,0.075,
,,,,,,,,,
0.45.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.457142857
,,,,,,,GlassFiber,0.055,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.45_Solid_Concrete_Ground,Ground_Floor,,0,0,0,0,Concrete,0.5,0.516129032
,,,,,,,GlassFiber,0.045,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.6.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.583941606
,,,,,,,GlassFiber,0.036,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.51_Ground_Floor,Ground_Floor,,0,0,0,0,Concrete,0.5,0.583941606
,,,,,,,GlassFiber,0.036,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.5.SUSP,Ground_Floor,,0,0,0,0,Gypsum,0.03,0.501685182
,,,,,,,AirGap,0.032,
,,,,,,,Spruce,0.05,
,,,,,,,,,
0.5.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.49689441
,,,,,,,GlassFiber,0.048,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.5.SOLID,Ground_Floor,,0,0,0,0,Concrete,0.5,0.49689441
,,,,,,,GlassFiber,0.048,
