aacode,dwell_weight,hhld_weight,GOR_EHS,rumorph,Tenure4x,dwtypenx,dwage9x,wallcavx,sap09,hhtype6,hhsizex,agehrpx,agepartx,ageoldx,Uglazing,Uroof,Uextwall,Ugndfloor,Permeability,floorx,efwalar,ebwalar,efwinar,ebwinar,finlivcl,,,,min,mean,max,sd
H0033104,1319,1339,10,1,1,7,5,1,63.47,1,2,24,23,24,4.026845638,0.278956944,1.6,0,11.1639,52.12,184.37,107.1,30.6,45.9,2.3,,,,,,,
H0033110,1470,1472,10,1,1,1,2,2,33.31,6,1,60,0,60,2.758007117,0.175908222,2.1,0.74439599,15.5536,97.46,61.54,36.06,22.11,9.02,2.5,,,,,,,
H0033212,1103,1104,10,1,1,3,4,1,49.53,2,5,40,40,40,2.758007117,0.394511149,1.6,0.644684021,18.9409,141.94,87.63,37.71,27.02,16.16,2.6,,,,,,,
H0033301,1328,1330,10,1,1,2,3,2,57.26,1,2,74,71,74,2.758007117,0.21575985,2.1,0.598623199,15.9825,71.35,23.98,32.94,8.09,14.12,2.7,,,,,,,
H0033305,1676,1677,10,1,1,2,3,2,45.8,6,1,67,0,67,4.026845638,0.326820604,2.1,0.598352446,20.1117,95.22,22.58,42.79,9.68,18.34,2.8,,,,,,,
H0033306,1378,1380,10,1,1,3,4,1,54.61,6,1,75,0,75,2.758007117,0.278956944,1.6,0.709707808,16.2428,74.77,55.08,25.92,17.82,6.48,2.5,,,,,,,
H0033401,1234,1234,10,1,2,7,5,1,60.61,3,3,36,0,36,4.026845638,2.3,1.6,0,30,64.85,371.02,401.47,128.26,88.13,2.3,,,,,,,
H0033404,891,891,10,1,4,2,9,1,70.32,2,7,40,34,40,2.758007117,0.278956944,0.6,0.444540341,16.6983,92,25.31,22.05,6.33,5.51,2.3,,,,,,,
H0033405,1289,1290,10,1,1,2,3,2,49.03,2,3,48,42,48,2.758007117,0.175908222,2.1,0.540040473,16.9794,117.35,21.82,48.13,14.55,20.63,2.8,,,,,,,
H0033406,1303,1305,10,1,1,2,2,2,14.56,5,1,48,0,48,4.026845638,0.175908222,2.1,0.525265132,20.7191,146.35,23.69,71.1,10.15,17.78,3,,,,,,,
H0033408,2543,2581,10,1,1,6,2,2,32.48,1,2,55,69,69,4.026845638,2.3,2.1,0,13.0339,80.23,21.73,66.76,14.49,28.61,2.9,,,,,,,
H0033409,1270,1271,10,1,1,2,5,1,64.31,6,1,73,0,73,2.758007117,0.175908222,1.6,0.513956036,15.8802,101.8,21.69,40.29,9.3,17.27,2.6,,,,,,,
H0034101,1316,1318,10,1,1,3,4,1,62.67,3,4,36,0,36,2.758007117,0.394511149,1.6,0.762767383,15.024,95.66,19.12,93.24,12.74,23.31,2.6,,,,,,,
H0034102,1447,1449,10,1,1,2,3,2,62.81,1,2,30,29,30,2.758007117,0.326820604,2.1,0.622593683,27.7763,121.92,20.83,30.91,13.89,13.25,2.7,,,,,,,
H0034104,789,,10,1,4,3,6,1,59.44,,,,,,,,,,,76.02,19.63,66.65,8.41,13.64,2.3,,,,,,,
H0034107,1447,1448,10,1,1,2,8,1,71.38,6,1,70,0,70,2.758007117,0.137745171,0.6,0.470974375,14.2306,87.16,22.93,22.93,9.83,9.83,2.3,,,,,,,
H0034109,1742,1743,10,1,1,5,9,2,29.33,6,1,64,0,64,2.758007117,0.326820604,0.4,1.067219249,9.6651,27.58,28.9,23.37,7.23,12.76,2.2,,,,,,,
H0034203,1184,1184,10,1,2,2,2,2,56.76,2,3,23,25,25,2.758007117,0.175908222,2.1,0.635352034,16.9524,100.35,25.77,48.69,8.99,17.68,2.6,,,,,,,
H0034206,1015,1016,10,1,1,5,5,1,35.28,6,1,88,0,88,2.758007117,0.673499268,1.6,0.679166818,11.6355,58.24,44,15.73,11,6.74,2.5,,,,,,,
H0034208,734,734,10,1,2,4,6,1,62.02,1,2,33,30,33,2.758007117,0.394511149,1.6,0.708374137,16.6046,165.7,45.1,51.67,11.28,15.94,2.4,,,,,,,
H0034310,867,868,10,1,1,4,6,1,60.74,1,2,90,82,90,2.758007117,0.21575985,1.6,0.790047993,17.238,104.1,59.85,69.17,25.65,16.33,2.2,,,,,,,
H0034401,2582,2585,10,1,1,2,8,1,70.75,5,1,55,0,55,2.758007117,0.394511149,0.6,0.583791773,12.6824,61.51,25.7,24.28,2.86,10.4,2.3,,,,,,,
H0034403,851,860,10,1,4,7,7,1,74.81,6,1,83,0,83,2.758007117,0.673499268,1,0,11.8088,26.2,447.53,447.53,111.88,111.88,2.4,,,,,,,
H0034406,1821,1823,10,1,1,5,5,1,64.9,1,2,61,57,61,2.758007117,0.148482892,1.6,0.623905836,11.1754,57.13,16.61,42.05,7.12,9.21,2.4,,,,,,,
H0034408,3202,3250,10,1,1,7,9,1,71.07,5,1,38,0,38,2.758007117,0.278956944,0.6,0,13.1452,46.09,100.62,83.06,27.84,14.99,2.3,,,,,,,
H0041101,1403,,10,3,2,2,6,1,50.76,,,,,,,,,,,67.64,12.62,24.44,12.62,13.46,2.3,,,,,,,
H0041102,986,986,10,4,2,2,1,1,47.14,1,2,48,50,50,2.758007117,0.673499268,2.1,0.652167539,17.4115,84.25,11.91,26.11,5.1,6.53,2.2,,,,,,,
H0041104,1533,1535,10,2,1,4,4,1,34.52,5,1,47,0,47,2.758007117,0.278956944,1.6,0.970791708,23.0091,84.3,37.49,37.18,16.45,11.32,2.4,,,,,,,
H0041105,1175,1175,10,2,4,1,4,1,57.9,2,4,46,44,46,2.758007117,0.175908222,1.6,0.781898543,15.9607,76.13,65.02,43.06,10.89,8.43,2.5,,,,,,,
H0041106,2092,2094,10,2,1,3,2,1,59.4,1,2,50,65,65,2.758007117,0.21575985,2.1,0.756317098,29.3943,161.99,45.09,78.09,19.32,30.78,2.7,,,,,,,
